location_id,site_id,site_name,latitude,longitude,bio_sample,stream_type,sample_type,ecoregion,basin,area_km2,elev_ft,conductivity,chloride_mg,tp_ug,tn_mg,nitrate_mg,ph,alkalinity,sulfate_mg,tal_ug,tfe_ug,turbidity,watershed_imperv,watershed_developed,riparian_developed,watershed_agric,riparian_agric,watershed_forest,riparian_forest,watershed_wetland,riparian_wetland,watershed_natural,riparian_natural,bankstab_rating,finesed_percent,gravel_percent,silt_rating,embedded_percent
500837,020000000002X,Whetstone Brook 0.2,42.8506012,-72.55938721,2003.057,MHG,KN,59,VT13,68.9076,255,209.6,26.8,7.223333333,0.336666667,0.154,7.58,48.73333333,8.7,24.9,53.545,0.533333333,3.445914529,11.3173298,18.3922636,6.87790613,7.182496,79.6160094,65.276674,1.49548055,8.831457,81.80476085,74.425239,3,4.333333333,12.33333333,3.333333333,30.83333333
521439,020000000107X,Whetstone Brook 10.7,42.87723541,-72.68952942,2018.114,SHG,KN,58,VT13,10.6326,1293,37.6,6.4,8.84,0.17,0.025,6.32,5,2.73,92.802,247.311,1,0.698239377,6.4330463,11.4919348,4.206873,2.520161,83.9167932,64.0120975,3.944473,21.3709648,89.3600857,85.987901,3,1,13,3,20
522748,033000000039X,Cobb Brook 3.9,43.17163849,-72.74656677,2020.035,SHG,KN,58,VT11,3.5397,1828,27.5,1,8.3,0.15,0.077,7.565,6.75,4.219,50.905,55.315,NA,0.016781083,0.88990588,0.3344482,0,0,99.05852229,99.66555,0,0,99.110094,99.66555,3,0,18.5,2,25
501198,030000000061X,West River 6.1,42.9343605,-72.61187744,2008.069,WWMG,KN,58,VT11,1044.3465,307,83.46666667,11.76666667,8.69,0.193333333,0.095,7.376666667,17.33333333,4.253333333,23.45,154.219,0.926666667,0.601918329,4.95921604,8.52069809,2.99236912,3.71224563,87.6255305,69.3409335,3.9803169,17.644508,92.0484121,87.7670684,4,2.333333333,8.333333333,2.666666667,15.83333333
515786,030000000226X,West River 22.6,43.07442093,-72.73690033,2017.116,MHG,KN,58,VT11,592.1748,539,104.5,16.6,8.24,0.22,0.06,7.83,21,3.32,31.207,243.211,1.6,0.672334081,5.03060928,7.45532924,2.563482786,3.35969056,86.5444658,66.4048031,5.4019012,21.842268,92.4059026,89.1849776,3,3,13,3,50
515756,030000000473X,West River 47.3,43.31768036,-72.78774261,2017.076,MHG,KN,58,VT11,23.7798,1398,149.6,27.6,11.3,0.15,0.025,7.12,20,2.87,31.382,306.603,0.95,0.58129589,3.19430802,12.5665605,0.34441,1.4377,93.39543723,67.78487,2.9483011,18.210861,96.4612836,85.995731,5,1,7,3,20
515812,030400000023X,Stickney Brook 2.3,42.90988922,-72.64073944,2017.115,MHG,KN,58,VT11,9.5391,798,71.9,1,11.5,0.15,0.1,6.78,33,4.83,9.9,25,0.24,0.219549014,5.7363905,4.292344,2.802151,0.3480279,85.6551106,82.830631,5.01934206,12.180974,91.46146806,95.3596329,3,2,21,5,30
501204,030900000015X,Rock River 1.5,42.94823074,-72.66558838,2017.108,MHG,KN,58,VT11,145.4706,453,68.9,6.82,9.06,0.05,0.025,7.32,24,4.57,9.9,25,0.49,0.364191207,4.495959967,9.628543465,3.427496363,4.014802265,90.3480952,78.27817,1.24664388,7.4430948,92.07654588,86.3566509,2,4,14,2,35
515785,030900000108X,Rock River 10.8,42.96533966,-72.80751038,2017.112,SHG,KN,58,VT11,5.4468,1596,25.1,1,10.7,0.15,0.08,6.51,8,4.77,9.9,25,0.31,0.038664904,0.49570393,0,0.3304693,0,97.8628247,95.847173,0.57832122,4.1528238,99.17382422,99.9999968,2,4,18,5,35
522735,030912000024X,Hunter Brook 2.4,42.92583847,-72.78266144,2019.119,SHG,KN,58,VT11,2.0817,1460,77,2.16,11,0.1,0.075,7.62,27,7.056,33.54,65.49,0,0.382619974,5.6204062,4.210526316,2.031993,0,91.763689,95.78947368,0,0,92.347598,95.78947368,2,7,17,6,15
505003,030913000008X,Adams Brook 0.8,42.95843887,-72.76255035,2012.128,SHG,KN,58,VT11,9.4599,1131,54.95,1,8.955,0.05,0.025,7.305,26,3.82,17.4,25,0.28,0.175435258,4.0624105,4.4854885,4.833032,3.430079,87.1580679,83.992959,1.56027067,7.7396657,91.10455217,92.0844277,4,3,11.5,3,17.5
501205,031200000055X,Grassy Brook 5.5,43.04507065,-72.59207916,2008.059,SHG,KN,58,VT11,9.4347,650,46.3,2.17,6.9,0.11,0.025,6.42,10.8,4.94,30,132,1.12,0.107412,2.785462544,9.8273565,0.1812458,0,95.515142,77.8220421,1.58351621,11.5537851,97.03329411,90.17264,5,2,25,2,2.5
500862,032600000050X,Wardsboro Brook 5.0,43.03862,-72.79087067,2017.118,MHG,KN,58,VT11,69.6735,1010,116.7,20,8.22,0.12,0.025,7.25,22,4.52,9.9,25,0,0.518413744,5.451139899,11.9216523,1.984112,2.51388,90.1250452,76.758179,2.01898819,8.3590376,92.56475009,85.5644714,3,1,12,3,40
501206,032605000039X,Wardsboro Brook Trib 5 3.9,43.00695038,-72.79815674,2003.105,SHG,KN,58,VT11,1.3185,1735,32.4,0.44,3,0.05,0.025,6.76,9.9,3.87,NA,50,0.5,0.156996587,5.05119439,27.52294,1.365188,0,92.051632,65.137619,1.023891,7.339449,93.5836209,72.477068,5,10,18,3,62.5
515800,032609000008X,Waite Brook 0.8,43.01639938,-72.83409119,2017.117,SHG,KN,58,VT11,10.1178,1405,44.2,1,6.64,0.14,0.06,6.46,14,4.05,9.9,25,0.7,0.095712507,2.68635507,4.955752,0.8361502,0.2654867,95.4982122,90.7964579,0.70272199,3.9823006,96.47750089,94.7787585,4,1,14,3,40
522678,032707000004X,Turkey Mountain Brook Trib 7 0.7,43.16436005,-72.71874237,2019.104,SHG,KN,58,VT11,1.7181,1690,37.9,2.85,24,0.4,0.055,6.98,11,1.567,129,2037,5.5,0.188580409,3.0382402,2.717391304,1.047669,2.173913043,91.14123,75.54347826,3.3001573,19.56521739,95.9141003,95.10869565,2,10,3,6,25
