"","location_id","site_id","bio_sample","turbidity","chloride_mg","tp_ug","tn_mg","alkalinity","sulfate_mg","silt_rating","finesed_perc"
"1",500837,"020000000002","2003.057",0.94,36.4,8,0.6,54.2,9.99,2,2
"2",500837,"020000000002","2012.126",0.33,20.6,6.35,0.19,44,8.72,3,2
"3",500837,"020000000002","2013.145",0.33,23.4,7.32,0.22,48,7.39,2,9
"4",500843,"020000000086","2012.125",0.93,10.3,9.8,0.14,12,7.7,2,4
"5",521439,"020000000107","2018.114",1,6.4,8.84,0.17,5,2.73,2,1
"6",501198,"030000000061","2008.069",0.77,10.6,6.84,0.16,15,4.2,2,1
"7",501198,"030000000061","2012.074",1.1,11.4,8.13,0.17,16,4.39,2,0
"8",501198,"030000000061","2017.104",0.91,13.3,11.1,0.25,21,4.17,1,6
"9",501201,"030000000191","2003.071",1.02,14.3,11,0.14,14.6,4.17,1,0
"10",501201,"030000000191","2017.110",1,16.2,12,0.24,24,3.69,5,2
"11",515786,"030000000226","2017.116",1.6,16.6,8.24,0.22,21,3.32,2,3
"12",500856,"030000000260","2003.072",2,11.9,10,0.22,13,3.66,1,4
"13",500856,"030000000260","2003.123",1.2,9,10,0.17,11.8,3.69,1,4
"14",515756,"030000000473","2017.076",0.95,27.6,11.3,0.15,20,2.87,2,1
"15",515812,"030400000023","2017.115",0.24,1,11.5,0.15,33,4.83,4,2
"16",501204,"030900000015","2017.108",0.49,6.82,9.06,0.05,24,4.57,1,4
"17",515785,"030900000108","2017.112",0.31,1,10.7,0.15,8,4.77,4,4
"18",522735,"030912000024","2019.119",0,2.16,11,0.1,27,7.056,5,7
"19",505002,"030913000002","2012.127",0.27,2,5.79,0.1,27,5.11,4,1
"20",505003,"030913000008","2012.128",0.2,1,6.01,0.05,22,4.64,1,0
"21",505003,"030913000008","2017.109",0.36,1,11.9,0.05,30,3,3,6
"22",501205,"031200000055","2008.059",1.12,2.17,6.9,0.11,10.8,4.94,1,2
"23",515801,"032600000049","2017.118",0,20,8.22,0.12,22,4.52,2,1
"24",501206,"032605000039","2003.105",0.5,0.44,3,0.05,9.9,3.87,2,10
"25",515800,"032609000008","2017.117",0.7,1,6.64,0.14,14,4.05,2,1
"26",522678,"032707000004","2019.104",5.5,2.85,24,0.4,11,1.567,5,10
"27",522676,"032800000031","2019.102",0.3,15.5,8,0.05,6.21,2.715,1,4
"28",501208,"032800000073","2018.036",0.45,20.8,12.6,0.18,3.9,2.21,3,9
"29",501212,"032804000004","2003.030",NA,30,6,0.33,36.1,NA,1,0
"30",501212,"032804000004","2008.051",0.51,37.9,6.77,0.17,20.6,4.77,2,9
"31",501213,"032804000022","2017.063",0.52,66,9.69,0.23,31,3.44,2,4
"32",501217,"032804060008","2003.035",NA,0.47,8,0.05,5.4,3.3,NA,NA
"33",501218,"032804060012","2003.073",0.23,0.47,8,0.05,2.9,3.3,0,0
"34",501222,"032804080009","2006.091",0.37,1,5.88,0.21,1.2,3.94,1,1
"35",501222,"032804080009","2008.052",0.29,1,5.5,0.1,1.22,3.76,0,0
"36",501222,"032804080009","2009.083",0.2,1,2.5,0.05,1,3.73,1,0
"37",501222,"032804080009","2010.093",0.2,1,5.75,0.05,2.2,3.93,1,1
"38",501222,"032804080009","2012.086",0.3,1,2.5,0.11,1,3.48,2,1
"39",501222,"032804080009","2013.149",0.26,1,5.08,0.05,1,3.44,2,5
"40",501222,"032804080009","2017.065",0.21,1,6.89,0.12,2,3.11,1,3
"41",501230,"032804140008","2003.074",NA,64.2,NA,NA,31.4,NA,2,9
"42",501230,"032804140008","2004.121",1.21,111,10,0.42,35.1,65.8,4,10
"43",501230,"032804140008","2006.090",0.24,75.9,6.02,0.3,25.1,6.12,2,4
"44",501230,"032804140008","2008.050",1.07,81.6,6.27,0.31,34.8,6.96,3,16
"45",501230,"032804140008","2009.094",0.28,78.7,6.36,0.26,30.9,5.83,3,0
"46",501230,"032804140008","2010.089",0.2,182,6.12,0.29,41.6,6.62,3,5
"47",501230,"032804140008","2017.081",0.83,148,6.36,0.36,49,5.11,2,9
"48",501231,"032804240001","2003.075",NA,NA,NA,NA,NA,NA,2,7
"49",501231,"032804240001","2012.087",0.87,256,6.52,0.26,75,6.31,3,4
"50",501231,"032804240001","2017.079",0.43,276,8.09,0.3,90,4.85,3,6
"51",501233,"032804240004","2006.089",NA,NA,NA,NA,NA,NA,5,10
"52",501233,"032804240004","2008.053",3.51,84.5,8.83,0.23,43.7,3.72,4,13
"53",501233,"032804240004","2010.095",3.44,326,9.36,0.25,66.3,5.82,4,1
"54",501233,"032804240004","2012.088",0.86,144,6.69,0.16,55,4.72,4,10
"55",501235,"032804250001","2017.080",0.49,106,6.33,0.41,51,4.26,3,4
"56",501244,"032813000007","2018.035",0.2,1,6.29,0.15,1.67,2.51,1,0
"57",501244,"032813000007","2019.100",0,1,7,0.13,2.3,3.138,0,1
"58",501246,"032816000001","2004.152",0.2,5.2,NA,NA,1.1,NA,3,5
"59",501247,"033000000009","2010.092",0.27,1,8.72,0.05,11.6,4.5,0,1
"60",501247,"033000000009","2012.090",0.51,1,8.46,0.17,12,5.53,1,2
"61",501249,"033000000026","2007.072",0.61,1,5.72,0.05,6,5.34,1,1
"62",522748,"033000000039","2019.149",NA,1,8,0.05,7,4.548,1,0
"63",522748,"033000000039","2020.035",NA,1,8.6,0.25,6.5,3.89,1,0
"64",523026,"033000000043","2020.036",NA,1,8.6,0.25,6.5,3.89,1,1
"65",501250,"033100000001","2008.068",1.38,5.4,7.08,0.14,5.4,3.08,1,1
"66",501253,"033500000071","2004.120",0.26,1,8,0.22,1.4,2.91,1,1
"67",501254,"033500000081","2004.123",0.29,1,9,0.21,1,2.84,0,5
"68",501254,"033500000081","2008.049",0.78,1,11.5,0.24,1.8,2.32,1,1
"69",501254,"033500000081","2009.090",0.28,1,14.6,0.23,1.9,2.26,1,0
"70",501254,"033500000081","2010.094",0.23,1,10.8,0.11,4.7,2.71,1,0
"71",501254,"033500000081","2012.089",0.3,2.57,10.2,0.17,6,2.5,1,4
"72",501254,"033500000081","2013.150",0.39,1,8.32,0.15,3,2.43,2,5
"73",501254,"033500000081","2014.098",0.22,1,11.8,0.05,7,2.56,2,6
"74",501254,"033500000081","2015.043",0.24,1,10.9,0.39,7.6,3.09,1,0
"75",501254,"033500000081","2016.048",2.3,1,20.7,0.27,4.72,2.05,1,0
"76",501254,"033500000081","2017.064",0.35,1,13.9,0.2,5,1.81,1,2
"77",501254,"033500000081","2018.078",0.88,1,15,0.31,5,1.41,1,4
"78",501254,"033500000081","2019.099",0.101,1,11,0.22,5.85,2.439,1,3
"79",501254,"033500000081","2020.034",0,1,12.1,0.48,4.6,1.82,2,4
"80",501255,"033501000081","2003.110",0.7,4.5,11,0.05,6.1,3.98,0,4
"81",523030,"033501070018","2020.041",0,17,14.7,0.25,12.3,2.6,2,0
"82",501256,"033501070019","2005.077",0.56,5.27,15.6,0.22,10.6,1.99,1,3
"83",501256,"033501070019","2006.074",0.97,4.92,19.2,0.26,8.4,2,1,2
"84",501256,"033501070019","2016.046",1.4,5.36,19.1,0.26,12,2.01,1,0
"85",505016,"033505060016","2009.067",NA,NA,NA,NA,NA,NA,2,5
"86",505016,"033505060016","2017.072",NA,NA,NA,NA,NA,NA,3,30
"87",501259,"033505060019","2009.086",0.52,73.5,12.5,0.17,61.8,4.44,3,19
"88",515759,"033505060020","2017.066",0.6,142,14,0.19,124,3.08,2,27
"89",501262,"033700000024","2017.071",0,45.5,46.1,0.27,17,2.96,3,7
"90",501267,"033900000040","2006.088",0.62,2.1,13.4,0.13,9.7,3.32,1,2
"91",501267,"033900000040","2008.040",0.3,1,10.1,0.14,6.9,3.15,1,6
"92",500845,"033900000061","2006.076",1.41,1,18.4,0.21,8,2.87,4,9
"93",500845,"033900000061","2007.069",1.36,1,15.8,0.27,12,3.92,3,6
"94",500845,"033900000061","2008.039",0.67,1,12,0.16,6.1,2.93,1,12
"95",500845,"033900000061","2017.077",0.9,3.44,18.5,0.27,13,2.02,2,5
"96",501268,"033900000072","2006.077",0.27,1,9.14,0.05,6.1,3.83,1,2
"97",501268,"033900000072","2007.070",0.2,1,7.71,0.21,6.7,4.34,1,1
"98",501268,"033900000072","2008.038",0.26,1,8.45,0.11,3.9,3.33,0,0
"99",505020,"034000000089","2017.073",0.36,1,11.7,0.14,12,2.49,1,5
"100",523031,"034010000014","2020.043",1,1,10.1,0.25,18,2.52,1,4
"101",501266,"034010000019","2003.032",NA,4.7,12,0.25,8.2,NA,0,5
"102",515755,"034200000014","2017.075",0.25,3.38,10.1,0.22,25,1.95,3,0
"103",515754,"034600000018","2017.078",2.39,1,7.83,0.05,4,2.72,2,5
"104",501270,"034700000009","2004.177",0.3,5.7,NA,0.13,10.8,NA,1,1
"105",501271,"034700000012","2005.082",0.2,1,6.29,0.05,20,4.56,2,3
"106",501271,"034700000012","2006.078",0.2,1,7.66,0.11,20.2,4.34,1,8
"107",501271,"034700000012","2007.068",0.2,1,6.04,0.14,20.8,4.88,1,0
"108",501271,"034700000012","2008.036",0.58,1,7.09,0.16,9.6,3.23,1,0
"109",501271,"034700000012","2010.091",0.2,1,6.98,0.05,23.6,4.39,1,0
"110",501272,"034705000004","2006.079",0.32,1,7.13,0.16,15,3.51,3,7
"111",501272,"034705000004","2007.067",0.34,1,5.27,0.2,16,5.25,2,3
"112",501272,"034705000004","2008.037",0.66,1,8.28,0.17,6.9,2.57,1,1
"113",506346,"040000000005","2012.069",1.02,10.35,129,1.21,83.5,NA,4,2
"114",506346,"040000000005","2020.037",1.8,18.8,177,1.23,78.5,7.76,5,3
"115",506347,"040000000007","2020.038",1.7,10.7,15,0.29,79.6,6.41,5,0
"116",501273,"040000000008","2003.099",0.9,10.3,10,0.27,70.9,7.44,4,12
"117",501274,"040000000009","2008.064",NA,7.77,9.91,0.23,53.2,7.18,4,11
"118",501274,"040000000009","2012.070",1.2,7.06,12.6,0.2,78,8.23,4,3
"119",501278,"040000000030","2008.065",0.33,4.12,5.87,0.15,80.3,7.73,2,12
"120",515798,"040000000048","2017.113",0.26,1,12.7,0.22,74,5.89,4,4
"121",501280,"050000000003","2012.071",0.2,13,2.5,0.05,49.5,9.14,3,2
"122",515799,"050000000034","2017.114",0.39,10.1,10.6,0.13,66,4.32,2,4
"123",522747,"050000000038","2019.148",1.8,11.9,9,0.05,68,4.022,4,7
"124",501282,"060000000038","2003.104",2.2,11.5,12,0.17,15.8,4.92,1,0
"125",501283,"060000000045","2008.066",0.32,14.2,20.4,0.22,30.4,5.52,2,5
"126",501283,"060000000045","2012.066",0.56,13.2,11.9,0.11,33,6.82,2,1
"127",501283,"060000000045","2017.139",3.5,13.9,21.6,0.16,32,4.93,1,7
"128",501286,"060000000094","2006.068",0.58,11.3,8.25,0.05,17.3,5.03,2,4
"129",521430,"060000000141","2018.107",2.5,8.46,10.1,0.17,16,3.09,1,5
"130",501287,"060000000144","2006.069",0.34,9.56,10.3,0.05,20.1,5.55,2,4
"131",501287,"060000000144","2017.061",0.52,12.2,10.8,0.05,25,4.94,3,2
"132",501288,"060000000203","2008.067",0.88,11.6,6.68,0.14,13.2,3.79,3,15
"133",515757,"060400000003","2017.082",0.29,11.8,12.5,0.14,75,4.48,2,13
"134",501289,"060500000001","2003.097",1.16,3.4,9,0.15,71.4,6.68,1,10
"135",501289,"060500000001","2017.083",0.33,2.68,11.9,0.05,76,5.23,2,8
"136",515815,"060800000020","2017.138",3.4,15.6,16,0.21,16,4.44,5,5
"137",523067,"060900000002","2020.157",2.3,8.7,18,0.29,31.2,5.62,4,10
"138",515751,"061600000002","2017.062",0.35,9.08,10.8,0.11,15,3.7,1,1
"139",515764,"061604000016","2017.067",0,1,9.73,0.14,8,2.77,2,1
"140",515765,"061605000001","2017.068",0,1,10.9,0.05,7,4.47,3,3
"141",515768,"061607000004","2017.069",0.9,1,10.3,0.05,7,3.95,1,2
"142",501291,"070000000118","2008.096",0.79,14.3,38.2,0.22,21.5,5.89,2,11
"143",501291,"070000000118","2012.065",0.64,17.9,7.28,0.19,29.5,2.76,3,5
"144",501291,"070000000118","2017.084",0,29.4,96.2,0.37,32,5.51,3,1
"145",501293,"070000000121","2008.098",0.71,14.5,7.13,0.16,21.1,5.12,1,1
"146",501294,"070000000122","2008.097",0.6,14.2,7.66,0.11,20.2,5.11,1,2
"147",501296,"071100000004","2016.047",1.6,15.8,10.4,0.12,33,6.23,2,2
"148",501296,"071100000004","2017.085",0,16.6,11.5,0.12,33,5.35,4,3
"149",515758,"071300000007","2017.088",0.8,13.5,11,0.13,21,3.87,4,7
