"turbidity"	"silt_rating"	"alkalinity"	"chloride"	"tp_ug"
"ACERPENNA"	NA	NA	NA	NA	0.0172149014799296
"ANTOCHA"	NA	NA	0.0227415047379563	NA	NA
"APATANIA"	-0.0383499525639806	NA	NA	NA	NA
"ARCTOPSYCHE.LADOGENSIS"	NA	-0.0709233167262726	-0.0442515319888447	NA	NA
"BAETISCA"	-0.028283587729047	NA	NA	NA	NA
"CHEUMATOPSYCHE"	NA	NA	0.0148904760676754	0.0567645650039555	0.0216073690807368
"CHIMARRA.ATERRIMA"	0.023147664733263	0.0236603184372119	NA	0.0256407121866119	0.0171105548440938
"CRICOTOPUS.BICINCTUS"	NA	NA	NA	0.021620801187937	NA
"CRICOTOPUS.TRIFASCIA"	NA	NA	0.0281944998421266	0.0382675905174304	0.0324009042154342
"DIAMESA"	NA	NA	0.0264404341612585	0.0183838756947777	NA
"DOLOPHILODES"	-0.0438747668868985	-0.0450388590664061	NA	-0.0207439353863072	-0.0295672289493965
"ECTOPRIA"	NA	NA	0.0170093113263174	NA	NA
"EPEORUS.PLEURALIS_FRAGILIS_FRISONI"	-0.0418689721143871	NA	-0.0152160995435539	-0.0342873266276815	-0.0207105807945311
"EPEORUS.VITREUS"	NA	-0.034481341324316	NA	-0.0183531726010337	NA
"EURYLOPHELLA"	NA	NA	-0.0620608126033125	-0.025192754709892	NA
"FOSSARIA"	NA	0.0295219129690736	NA	0.0285711594963415	NA
"GORDIUS"	NA	0.0253634905130061	NA	NA	NA
"HEPTAGENIA"	NA	NA	NA	-0.0186151068186842	NA
"HEXATOMA"	-0.0216001611134943	NA	NA	-0.0217319615989333	-0.0245679999811348
"HYDROPSYCHE.ALHEDRA"	NA	-0.0329358183280065	-0.0153186677781017	NA	NA
"HYDROPSYCHE.BETTENI"	0.0232509488150432	0.0675089533895793	0.0356848308127976	0.0505706496402537	0.0664018279250665
"HYDROPSYCHE.BRONTA"	NA	NA	NA	0.0189635743548004	NA
"HYDROPSYCHE.VENTURA"	NA	NA	NA	-0.0173741202956954	NA
"ISOGENOIDES"	NA	NA	NA	NA	-0.0230373178548213
"ISOPERLA"	NA	-0.0182035294136519	NA	NA	NA
"LEPIDOSTOMA"	-0.0576490978172026	-0.0669549709604767	-0.0645058636002493	-0.0464636551327532	-0.0469447285764957
"LEUCTRIDAE"	NA	-0.0230606305534989	-0.0433062044804929	-0.0246410574189472	NA
"LUMBRICINA"	NA	NA	NA	0.0377558823170505	NA
"LUMBRICULIDAE"	NA	NA	-0.0168557089232017	NA	NA
"LYPE"	0.0363822549828443	NA	NA	NA	0.0248484037383228
"MACCAFFERTIUM"	0.0228731981753726	NA	-0.0149245794649233	-0.0224541800047001	NA
"MACRONYCHUS"	0.0373300611321361	NA	NA	NA	NA
"MALIREKUS"	-0.0276931718078392	NA	NA	NA	-0.040583404191323
"MICROPSECTRA"	NA	NA	-0.0150087319275503	-0.0281923249312728	NA
"MICROTENDIPES.RYDALENSIS"	NA	NA	-0.0182650796654295	NA	NA
"MUSCIDAE"	NA	NA	NA	NA	0.0267917729490174
"NAIDIDAE"	NA	0.0278949932762765	NA	NA	NA
"NATARSIA"	NA	0.0289003946639606	NA	NA	NA
"NILOTHAUMA"	NA	NA	-0.0163261540624116	NA	NA
"OPTIOSERVUS.FASTIDITUS"	NA	0.0189854412727876	0.0854457701341714	0.0186314710294965	NA
"OPTIOSERVUS.OVALIS"	NA	0.0233952843334143	0.0495325452238795	NA	NA
"OULIMNIUS.NITIDULUS"	NA	0.0366162665748888	NA	NA	NA
"PARAGNETINA.IMMARGINATA"	NA	NA	NA	NA	-0.0164161852152408
"PARAMETRIOCNEMUS"	NA	NA	0.0151630949990147	NA	NA
"PARAPSYCHE.APICALIS"	NA	NA	-0.0148544150216989	NA	-0.0167873071165879
"PARATANYTARSUS"	NA	NA	NA	NA	0.0208544640334978
"PERICOMA"	NA	NA	NA	NA	0.036480241711879
"PHYSA"	NA	0.0394559716228511	0.0203008913047377	0.036862758982029	0.0365935760149518
"PHYSELLA"	NA	0.0820795882612865	NA	NA	0.0370224358404384
"PISIDIUM"	NA	NA	NA	NA	0.0190382678042099
"PLAUDITUS"	NA	NA	-0.0151426446754296	NA	NA
"POLYCENTROPUS"	NA	NA	-0.0170051244252078	NA	NA
"POLYPEDILUM.AVICEPS"	NA	-0.0232673810960618	NA	NA	NA
"POLYPEDILUM.FLAVUM"	NA	NA	NA	NA	0.0419616806685752
"PSEPHENUS.HERRICKI"	NA	NA	NA	0.0261862511831556	NA
"PSYCHOMYIA"	NA	NA	NA	NA	0.0353392608389742
"PTERONARCYS.PROTEUS"	-0.0318607013786023	NA	NA	NA	-0.0300232036066483
"RHAGOVELIA"	NA	0.065600253795349	NA	NA	NA
"RHITHROGENA"	-0.0408456349842839	-0.0251538218936279	NA	NA	-0.0400025140306327
"RHYACOPHILA.ACUTILOBA"	NA	-0.0249997814858052	NA	NA	NA
"RHYACOPHILA.FUSCULA"	-0.0347559094253952	NA	NA	NA	NA
"SIALIS"	0.0241251528978248	NA	NA	NA	0.022773294772927
"SIMULIUM.VITTATUM"	0.0332658584598199	NA	NA	NA	0.0333712747186684
"SOYEDINA"	0.0333836596928315	0.0362692261703834	NA	NA	0.0230653940799594
"STENACRON"	0.0363378974188946	0.0227167319438487	NA	NA	0.035460616551976
"STENELMIS.CRENATA"	0.0310067098751292	0.0237062342296786	NA	NA	0.0359519077382835
"SWELTSA"	NA	NA	NA	-0.0353970771065338	NA
"TALLAPERLA"	NA	NA	NA	-0.0243220418698465	NA
"TIPULA"	NA	0.0390163091933934	NA	NA	NA
