"turbidity"	"silt_rating"	"alkalinity"	"chloride"	"tp_ug"	"sulfate_mg"	"tn_mg"	"finesed_percent"	"watershed_imperv"
"ACENTRELLA"	NA	-0.0123147040256364	NA	NA	NA	NA	NA	NA	NA
"ACERPENNA"	NA	NA	NA	NA	0.0162263031881192	NA	NA	NA	NA
"AMELETUS"	NA	NA	-0.0142813022972403	-0.0175359170088212	NA	NA	NA	NA	NA
"ANCHYTARSUS.BICOLOR"	NA	NA	NA	NA	NA	NA	NA	NA	0.0166815711364714
"ANTOCHA"	NA	0.0156603108663532	0.0280348598749391	0.0164058105779003	NA	0.0188484281545966	NA	NA	0.0105366989853608
"APATANIA"	-0.0359876583168179	-0.0119917553177114	-0.013876954641812	NA	NA	NA	NA	NA	NA
"ARCTOPSYCHE.LADOGENSIS"	NA	-0.0756836208242464	-0.0520902822899752	NA	NA	NA	NA	NA	NA
"ATHERIX"	NA	NA	NA	-0.0116143371851167	NA	NA	NA	NA	NA
"BAETIS.FLAVISTRIGA"	NA	NA	NA	NA	NA	NA	0.0212837021682323	0.0269539442365148	NA
"BAETIS.TRICAUDATUS"	NA	NA	0.0107406294291239	NA	NA	NA	NA	NA	NA
"BAETISCA"	-0.0275566779567161	NA	NA	NA	NA	NA	NA	NA	NA
"BOYERIA.GRAFIANA"	NA	NA	-0.0117631915766906	NA	NA	NA	NA	NA	NA
"BRACHYCENTRUS.SOLOMONI"	NA	NA	NA	NA	NA	NA	-0.0159309204865859	NA	NA
"CAENIS"	NA	NA	NA	NA	NA	0.0179254638157887	NA	NA	NA
"CALOPTERYX"	NA	NA	NA	NA	NA	NA	NA	NA	0.0144132755420029
"CAPNIIDAE"	NA	NA	NA	NA	NA	NA	NA	-0.0394125340010579	NA
"CARDIOCLADIUS"	NA	NA	NA	NA	NA	NA	0.0237282900420383	NA	NA
"CHAETOCLADIUS"	NA	NA	NA	NA	-0.00994423521967651	NA	NA	NA	NA
"CHEUMATOPSYCHE"	0.0122661431633732	0.0133115548570166	0.0181727995147036	0.0580823581239623	0.0214115114944332	NA	NA	NA	0.0218618973204647
"CHIMARRA.ATERRIMA"	0.0225426189766689	0.025257575643248	NA	0.0250500372863673	0.0175282536349093	NA	NA	NA	0.00835373232122769
"CHIMARRA.OBSCURA"	NA	NA	NA	NA	0.0129562666357541	0.0167895149692893	NA	NA	NA
"CLADOTANYTARSUS"	NA	NA	NA	NA	NA	NA	0.0205331376721697	0.0459074912633211	NA
"CORYNONEURA"	NA	NA	NA	NA	NA	NA	NA	-0.0228299494348596	NA
"CRICOTOPUS.BICINCTUS"	NA	0.0147748462972485	NA	0.0208875519579588	0.0105998845138938	NA	0.0197358449766973	NA	0.0109120399155829
"CRICOTOPUS.TRIFASCIA"	NA	0.0146213194418926	0.030029880097318	0.0379058598960555	0.0324859195347832	0.0373759774958778	0.0590106070288991	NA	0.0183253714941623
"CRYPTOLABIS"	-0.0109408580324737	NA	NA	NA	NA	NA	NA	NA	NA
"CULTUS"	-0.0203575907571068	NA	NA	NA	NA	NA	-0.0350257597226917	NA	NA
"CURCULIONIDAE"	0.0115279911229293	NA	NA	NA	NA	NA	NA	NA	NA
"DIAMESA"	NA	0.0110429714793986	0.0264312173642272	0.0182340317857514	0.0100792477126823	0.0288478481558243	0.0430954532774119	0.0179738177524595	0.0238628516345332
"DICRANOTA"	NA	NA	NA	NA	0.0138440031348246	NA	NA	NA	NA
"DIPHETOR.HAGENI"	NA	NA	0.0146161212196323	NA	NA	NA	NA	NA	NA
"DIXA"	-0.0177747772183031	NA	NA	NA	NA	NA	-0.0155682905288054	NA	NA
"DOLOPHILODES"	-0.0428813263004669	-0.0433524912232681	NA	-0.0205315589609606	-0.0288516537565162	-0.0291484186320856	-0.0365053624383074	NA	-0.0277090412198906
"DUBIRAPHIA.QUADRINOTATA"	NA	NA	NA	NA	0.0115693751608428	NA	0.0515599834654393	NA	0.0148663576072249
"ECTOPRIA"	NA	NA	0.0207677652160603	NA	NA	NA	NA	0.0296917720310726	NA
"EMPIDIDAE"	NA	0.0114393905088276	NA	NA	NA	0.0202932726847764	NA	NA	NA
"ENCHYTRAEIDAE"	NA	NA	0.0114827440639105	NA	NA	NA	NA	0.0188061066058861	NA
"EPEORUS.PLEURALIS_FRAGILIS_FRISONI"	-0.0417308422352437	-0.0158879697975931	-0.019139596007945	-0.0356191514823882	-0.0213985157691192	NA	-0.0176298788460464	NA	NA
"EPEORUS.VITREUS"	-0.0138878686239047	-0.0353116461479419	-0.0116941006907198	-0.0189846089311675	-0.0129783944162379	-0.0150584197411426	-0.0161991020668876	NA	-0.0142986655414481
"EPHEMERELLA"	NA	NA	NA	-0.0146001321705432	NA	-0.0371768111703946	NA	NA	-0.0219930432676883
"EUKIEFFERIELLA.CLARIPENNIS"	NA	NA	NA	0.0137678401527773	NA	NA	0.0174383349866433	NA	0.0134227885723669
"EUKIEFFERIELLA.TIROLENSIS"	NA	NA	NA	NA	NA	NA	-0.110111600989274	NA	NA
"EURYLOPHELLA"	NA	-0.0157724212657908	-0.0642622496821135	-0.0246290286372361	NA	-0.029932365378984	NA	-0.0496352710853378	-0.0225567996847702
"FERRISSIA.RIVULARIS"	NA	NA	NA	NA	NA	NA	NA	NA	0.00914997162195524
"FOSSARIA"	NA	0.0311412526384714	0.0115146323810641	0.0311684999033673	NA	0.0637593993450638	NA	NA	0.030652209130821
