TNAME	SUBKINGDOM	INFRAKINGDOM	SUPERPHYLUM	PHYLUM	SUBPHYLUM	INFRAPHYLUM	SUPERCLASS	CLASS	SUBCLASS	INFRACLASS	SUPERORDER	ORDER	SUBORDER	INFRAORDER	SUPERFAMILY	FAMILY	SUBFAMILY	TRIBE	SUBTRIBE	GENUS	SPECIES	NUMOCC	otufin	otufin2
ORIBATIDA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	SARCOPTIFORMES	ORIBATIDA	NA	NA	NA	NA	NA	NA	NA	NA	21	ORIBATIDA	ORIBATIDA
ARRENURUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	ARRENUROIDEA	ARRENURIDAE	NA	NA	NA	ARRENURUS	NA	3	ARRENURUS	ARRENURUS
MIDEOPSIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	ARRENUROIDEA	MIDEOPSIDAE	NA	NA	NA	MIDEOPSIS	NA	1	MIDEOPSIS	MIDEOPSIS
LIMNOCHARIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	EYLAOIDEA	LIMNOCHARIDAE	NA	NA	NA	NA	NA	16	LIMNOCHARIDAE	LIMNOCHARIDAE
HYDRACHNA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYDRACHNOIDEA	HYDRACHNIDAE	NA	NA	NA	HYDRACHNA	NA	1	HYDRACHNA	HYDRACHNA
HYDRODROMA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYDRYPHANTOIDEA	HYDRODROMIDAE	NA	NA	NA	HYDRODROMA	NA	5	HYDRODROMA	HYDRODROMA
HYDRYPHANTIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYDRYPHANTOIDEA	HYDRYPHANTIDAE	NA	NA	NA	NA	NA	27	HYDRYPHANTIDAE	HYDRYPHANTIDAE
ATRACTIDES	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	HYGROBATIDAE	NA	NA	NA	ATRACTIDES	NA	3	ATRACTIDES	ATRACTIDES
HYGROBATES	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	HYGROBATIDAE	NA	NA	NA	HYGROBATES	NA	43	HYGROBATES	HYGROBATES
LIMNESIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	LIMNESIIDAE	NA	NA	NA	LIMNESIA	NA	7	LIMNESIA	LIMNESIA
NAJADICOLA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	PIONIDAE	NA	NA	NA	NAJADICOLA	NA	1	NAJADICOLA	NAJADICOLA
NEUMANIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	UNIONICOLIDAE	NA	NA	NA	NEUMANIA	NA	4	NEUMANIA	NEUMANIA
UNIONICOLA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	UNIONICOLIDAE	NA	NA	NA	UNIONICOLA	NA	6	UNIONICOLA	UNIONICOLA
BANDAKIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	ANISITSIELLIDAE	NA	NA	NA	BANDAKIA	NA	1	BANDAKIA	BANDAKIA
LEBERTIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	LEBERTIIDAE	NA	NA	NA	LEBERTIA	NA	78	LEBERTIA	LEBERTIA
SPERCHON	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	SPERCHONTIDAE	NA	NA	NA	SPERCHON	NA	136	SPERCHON	SPERCHON
SPERCHONOPSIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	SPERCHONTIDAE	NA	NA	NA	SPERCHONOPSIS	NA	2	SPERCHONOPSIS	SPERCHONOPSIS
TORRENTICOLA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	TORRENTICOLIDAE	NA	NA	NA	TORRENTICOLA	NA	10	TORRENTICOLA	TORRENTICOLA
