"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"TAXON"	"taxaname.orig"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"SARCOPTIFORMES"	"ORIBATIDA"	NA	NA	NA	NA	NA	NA	NA	NA	"ORIBATIDA"	"ORIBATIDA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"ARRENUROIDEA"	"ARRENURIDAE"	NA	NA	NA	"ARRENURUS"	NA	"ARRENURUS"	"ARRENURUS"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"ARRENUROIDEA"	"MIDEOPSIDAE"	NA	NA	NA	"MIDEOPSIS"	NA	"MIDEOPSIS"	"MIDEOPSIS"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"EYLAOIDEA"	"LIMNOCHARIDAE"	NA	NA	NA	"LIMNOCHARES"	NA	"LIMNOCHARES"	"LIMNOCHARES"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"EYLAOIDEA"	"LIMNOCHARIDAE"	NA	NA	NA	"RHYNCHOLIMNOCHARES"	NA	"RHYNCHOLIMNOCHARES"	"RHYNCHOLIMNOCHARES"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRODROMIDAE"	NA	NA	NA	"HYDRODROMA"	NA	"HYDRODROMA"	"HYDRODROMA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRYPHANTIDAE"	NA	NA	NA	"EUTHYAS"	NA	"EUTHYAS"	"EUTHYAS"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRYPHANTIDAE"	NA	NA	NA	"PANISUS"	NA	"PANISUS"	"PANISUS"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYDRYPHANTOIDEA"	"HYDRYPHANTIDAE"	NA	NA	NA	"PROTZIA"	NA	"PROTZIA"	"PROTZIA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"HYGROBATIDAE"	NA	NA	NA	"ATRACTIDES"	NA	"ATRACTIDES"	"ATRACTIDES"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"HYGROBATIDAE"	NA	NA	NA	"HYGROBATES"	NA	"HYGROBATES"	"HYGROBATES"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"LIMNESIIDAE"	NA	NA	NA	"LIMNESIA"	NA	"LIMNESIA"	"LIMNESIA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"PIONIDAE"	NA	NA	NA	"NAJADICOLA"	NA	"NAJADICOLA"	"NAJADICOLA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"UNIONICOLIDAE"	NA	NA	NA	"NEUMANIA"	NA	"NEUMANIA"	"NEUMANIA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"HYGROBATOIDEA"	"UNIONICOLIDAE"	NA	NA	NA	"UNIONICOLA"	NA	"UNIONICOLA"	"UNIONICOLA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"ANISITSIELLIDAE"	NA	NA	NA	"BANDAKIA"	NA	"BANDAKIA"	"BANDAKIA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"LEBERTIIDAE"	NA	NA	NA	"LEBERTIA"	NA	"LEBERTIA"	"LEBERTIA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"SPERCHONTIDAE"	NA	NA	NA	"SPERCHON"	NA	"SPERCHON"	"SPERCHON"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"SPERCHONTIDAE"	NA	NA	NA	"SPERCHONOPSIS"	NA	"SPERCHONOPSIS"	"SPERCHONOPSIS"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CHELICERATA"	NA	NA	"ARACHNIDA"	"ACARI"	NA	"ACARIFORMES"	"TROMBIDIFORMES"	"PROSTIGMATA"	NA	"LEBERTIOIDEA"	"TORRENTICOLIDAE"	NA	NA	NA	"TORRENTICOLA"	NA	"TORRENTICOLA"	"TORRENTICOLA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"CAMBARIDAE"	"CAMBARINAE"	NA	NA	"CAMBARUS"	"CAMBARUS.BARTONII"	"CAMBARUS.BARTONII"	"CAMBARUS bartonii"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"CAMBARIDAE"	"CAMBARINAE"	NA	NA	"ORCONECTES"	"ORCONECTES.IMMUNIS"	"ORCONECTES.IMMUNIS"	"FAXONIUS immunis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"CAMBARIDAE"	"CAMBARINAE"	NA	NA	"ORCONECTES"	"ORCONECTES.LIMOSUS"	"ORCONECTES.LIMOSUS"	"FAXONIUS limosus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"CAMBARIDAE"	"CAMBARINAE"	NA	NA	"ORCONECTES"	"ORCONECTES.OBSCURUS"	"ORCONECTES.OBSCURUS"	"FAXONIUS obscurus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"CAMBARIDAE"	"CAMBARINAE"	NA	NA	"ORCONECTES"	"ORCONECTES.PROPINQUUS"	"ORCONECTES.PROPINQUUS"	"FAXONIUS propinquus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"CRUSTACEA"	NA	NA	"MALACOSTRACA"	"EUMALACOSTRACA"	NA	"EUCARIDA"	"DECAPODA"	"PLEOCYEMATA"	"ASTACIDEA"	"ASTACOIDEA"	"CAMBARIDAE"	"CAMBARINAE"	NA	NA	"ORCONECTES"	"ORCONECTES.RUSTICUS"	"ORCONECTES.RUSTICUS"	"FAXONIUS rusticus"
